time,open,high,low,close,volume
2020-12-11 04:11:00,365.05,365.11,365.05,365.11,1499
2020-12-11 04:12:00,365.02,365.02,364.96,364.96,3821
2020-12-11 04:13:00,365.02,365.05,365.02,365.05,240
2020-12-11 04:14:00,365.09,365.12,365.09,365.12,1325
2020-12-11 04:16:00,365.02,365.03,364.98,365.0,1780
2020-12-11 04:17:00,365.07,365.12,365.07,365.12,2501
2020-12-11 04:18:00,365.27,365.27,365.27,365.27,1050
2020-12-11 04:22:00,365.35,365.36,365.35,365.35,1502
2020-12-11 04:23:00,365.35,365.35,365.35,365.35,116
2020-12-11 04:25:00,365.11,365.11,365.11,365.11,535
2020-12-11 04:29:00,365.23,365.27,365.23,365.27,1253
2020-12-11 04:30:00,365.13,365.13,365.08,365.1,2320
2020-12-11 04:31:00,365.17,365.17,365.16,365.16,275
2020-12-11 04:34:00,365.2,365.2,365.2,365.2,652
2020-12-11 04:35:00,365.18,365.18,365.18,365.18,125
2020-12-11 04:36:00,365.11,365.15,365.11,365.11,700
2020-12-11 04:39:00,365.18,365.2,365.18,365.2,4000
2020-12-11 04:45:00,365.22,365.22,365.21,365.21,200
2020-12-11 04:46:00,365.29,365.29,365.26,365.26,560
2020-12-11 04:53:00,364.8,364.8,364.8,364.8,500
2020-12-11 04:54:00,364.78,364.78,364.78,364.78,150
2020-12-11 04:55:00,364.78,364.78,364.73,364.73,2725
2020-12-11 04:56:00,364.76,364.76,364.76,364.76,500
2020-12-11 04:57:00,364.72,364.73,364.72,364.73,694
2020-12-11 04:59:00,364.5,364.52,364.5,364.51,2193
2020-12-11 05:00:00,364.63,364.63,364.61,364.61,1937
2020-12-11 05:01:00,364.5,364.53,364.35,364.53,7726
2020-12-11 05:03:00,364.61,364.61,364.61,364.61,900
2020-12-11 05:05:00,364.61,364.61,364.61,364.61,150
2020-12-11 05:06:00,364.71,364.71,364.71,364.71,4050
2020-12-11 05:07:00,364.76,364.76,364.76,364.76,4000
2020-12-11 05:08:00,364.87,364.87,364.87,364.87,905
2020-12-11 05:11:00,364.93,364.93,364.93,364.93,525
2020-12-11 05:12:00,364.9,364.9,364.9,364.9,500
2020-12-11 05:14:00,364.8,364.8,364.67,364.67,7451
2020-12-11 05:15:00,364.73,364.73,364.61,364.61,500
2020-12-11 05:16:00,364.69,364.69,364.69,364.69,106
2020-12-11 05:17:00,364.71,364.8,364.71,364.8,500
2020-12-11 05:18:00,364.81,364.82,364.76,364.78,7310
2020-12-11 05:19:00,364.85,364.85,364.85,364.85,4030
2020-12-11 05:23:00,364.82,364.82,364.82,364.82,301
2020-12-11 05:24:00,364.89,364.94,364.89,364.94,1751
2020-12-11 05:26:00,365.04,365.04,364.96,364.96,442
2020-12-11 05:27:00,364.99,365.02,364.99,365.02,801
2020-12-11 05:31:00,364.96,364.96,364.96,364.96,168
2020-12-11 05:32:00,365.04,365.04,365.04,365.04,112
2020-12-11 05:33:00,364.99,364.99,364.99,364.99,518
2020-12-11 05:34:00,364.91,364.91,364.91,364.91,435
2020-12-11 05:36:00,364.88,364.88,364.88,364.88,4000
2020-12-11 05:37:00,364.72,364.74,364.61,364.61,750
2020-12-11 05:39:00,364.41,364.41,364.41,364.41,127
2020-12-11 05:40:00,364.41,364.41,364.41,364.41,447
2020-12-11 05:41:00,364.41,364.41,364.3,364.3,1156
2020-12-11 05:42:00,364.25,364.25,364.24,364.24,1836
2020-12-11 05:43:00,364.2,364.2,364.16,364.16,1511
2020-12-11 05:44:00,364.26,364.26,364.26,364.26,283
2020-12-11 05:45:00,364.36,364.39,364.36,364.39,1311
2020-12-11 05:46:00,364.26,364.26,364.11,364.14,746
2020-12-11 05:48:00,364.36,364.36,364.36,364.36,145
2020-12-11 05:50:00,364.35,364.35,364.34,364.34,851
2020-12-11 05:52:00,364.4,364.53,364.4,364.5,724
2020-12-11 05:54:00,364.53,364.53,364.49,364.49,1901
2020-12-11 05:57:00,364.18,364.18,364.05,364.11,865
2020-12-11 05:58:00,364.07,364.07,364.07,364.07,2280
2020-12-11 05:59:00,364.03,364.03,363.65,363.68,7961
2020-12-11 06:00:00,363.61,363.61,363.41,363.5,1691
2020-12-11 06:01:00,363.41,363.61,363.35,363.61,2333
2020-12-11 06:02:00,363.64,363.71,363.61,363.71,14883
2020-12-11 06:03:00,363.71,363.74,363.69,363.74,9181
2020-12-11 06:04:00,363.76,363.79,363.76,363.79,20200
2020-12-11 06:05:00,363.82,363.82,363.72,363.72,1702
2020-12-11 06:06:00,363.75,363.75,363.67,363.67,1105
2020-12-11 06:08:00,363.42,363.42,363.42,363.42,285
2020-12-11 06:09:00,363.21,363.21,363.2,363.2,495
2020-12-11 06:10:00,363.52,363.52,363.44,363.45,2019
2020-12-11 06:11:00,363.51,363.52,363.27,363.28,2456
2020-12-11 06:13:00,363.41,363.57,363.35,363.57,6150
2020-12-11 06:14:00,363.37,363.52,363.37,363.52,630
2020-12-11 06:15:00,363.47,363.47,363.41,363.45,6655
2020-12-11 06:16:00,363.43,363.43,363.32,363.32,1931
2020-12-11 06:17:00,363.49,363.49,363.49,363.49,1429
2020-12-11 06:21:00,363.45,363.45,363.45,363.45,12503
